spotId,spotName
1,阿坝
2,阿尔山
3,阿克苏
4,阿勒泰
5,阿里
6,安顺
7,安阳
8,鞍山
9,澳门
10,白银
11,百色
12,薄荷岛
13,宝鸡
14,保定
15,保山
16,北川
17,北戴河
18,北海
19,北京
20,槟城
21,波密
22,沧州
23,昌都
24,昌黎
25,常德
26,潮州
27,郴州
28,成都
29,承德
30,澄江
31,赤峰
32,楚雄
33,大理
34,大连
35,大同
36,丹东
37,淡水
38,稻城
39,德宏
40,德州
41,登封
42,迪庆
43,东莞
44,东极岛
45,都江堰
46,敦煌
47,峨眉山
48,鄂尔多斯
49,恩施
50,翡翠岛
51,丰都
52,丰宁
53,凤凰古镇
54,奉节
55,福州
56,甘孜
57,高雄
58,格尔木
59,鼓浪屿
60,固原
61,广安
62,广州
63,贵阳
64,桂林
65,哈尔滨
66,海口
67,海拉尔
68,海螺沟
69,海南藏族自治州
70,邯郸
71,韩城
72,杭州
73,衡水
74,红河
75,宏村
76,呼和浩特
77,呼伦贝尔
78,湖州
79,花莲
80,华山
81,黄山
82,黄姚古镇
83,惠州
84,吉林市
85,吉首
86,济南
87,济州岛
88,蓟县
89,嘉兴
90,建水
91,建水
92,江门
93,揭阳
94,锦州
95,晋中
96,荆州
97,井冈山
98,景德镇
99,景洪
100,靖西
101,九份
102,九江
103,九寨沟
104,喀纳斯
105,喀什
106,开封
107,凯里
108,康定
109,克什克腾旗
110,垦丁
111,库车
112,昆明
113,拉萨
114,兰州
115,阆中
116,廊坊
117,乐山
118,理塘
119,丽江
120,丽水
121,荔波
122,辽阳
123,辽源
124,林芝
125,临安
126,临汾
127,陵水
128,龙脊梯田
129,陇南
130,庐山
131,泸沽湖
132,泸州
133,碌曲
134,罗平
135,洛阳
136,绿岛
137,满洲里
138,芒康
139,梅里雪山
140,梅州
141,门源
142,绵阳
143,漠河
144,那曲
145,纳木错
146,南昌
147,南戴河
148,南京
149,南靖
150,南宁
151,南投
152,南浔
153,牛背山
154,怒江
155,盘锦
156,平顶山
157,平凉
158,平遥
159,屏东
160,濮阳
161,普陀山
162,齐云山
163,祁连
164,黔南
165,秦皇岛
166,青城山
167,青岛
168,青海湖
169,青岩古镇
170,清远
171,庆阳
172,邛崃
173,衢州
174,泉州
175,日喀则
176,日照
177,榕江
178,若尔盖
179,塞罕坝
180,三亚
181,色达
182,厦门
183,山南
184,汕头
185,上海
186,上饶
187,韶关
188,少林寺
189,绍兴
190,深圳
191,神农架
192,沈阳
193,十堰
194,石家庄
195,束河
196,双廊
197,苏州
198,台北
199,台东
200,台南
201,台中
202,太原
203,泰安
204,泰山
205,腾冲
206,天津
207,天水
208,通化
209,图们
210,吐鲁番
211,威海
212,涠洲岛
213,潍坊
214,文昌
215,文山
216,文山
217,乌兰察布
218,乌鲁木齐
219,乌镇
220,无锡
221,无锡灵山
222,芜湖
223,武汉
224,武隆
225,婺源
226,西安
227,西昌
228,西江
229,西宁
230,西双版纳
231,西塘
232,锡林郭勒
233,锡林浩特
234,歙县
235,霞浦
236,夏河
237,暹粒
238,咸阳
239,香港
240,香格里拉
241,湘西
242,襄阳
243,忻州
244,新北
245,兴隆
246,兴义
247,徐州
248,巽寮湾
249,雅安
250,延边
251,扬州
252,阳朔
253,野三坡
254,黟县
255,宜昌
256,宜兴
257,银川
258,永登
259,永定
260,玉溪
261,元阳
262,云台山
263,柞水
264,张北
265,张家界
266,张家口
267,漳州
268,长白山
269,长春
270,长沙
271,长滩岛
272,肇庆
273,镇远
274,郑州
275,重庆
276,舟山
277,珠海
278,珠穆朗玛峰
279,诸暨
280,自贡
281,遵义
